OrderID,OrderDate,CustomerID,ProductID,Quantity,DiscountPercent
O001,2024-01-05,C001,P001,1,5
O002,2024-01-06,C002,P002,2,10
O003,2024-01-07,C003,P003,3,0
O004,2024-01-08,C004,P004,1,15
O005,2024-01-09,C005,P006,5,0
O006,2024-01-10,C006,P007,2,5
O007,2024-01-11,C007,P008,1,12
O008,2024-01-12,C008,P009,4,0
O009,2024-01-13,C009,P010,3,5
O010,2024-01-14,C010,P011,1,8
O011,2024-01-15,C011,P012,1,10
O012,2024-01-16,C012,P013,2,7
O013,2024-01-17,C013,P014,6,0
O014,2024-01-18,C014,P015,2,6
O015,2024-01-19,C015,P001,1,9
O016,2024-01-20,C001,P002,1,5
O017,2024-01-21,C002,P003,2,0
O018,2024-01-22,C003,P004,1,12
O019,2024-01-23,C004,P005,1,10
O020,2024-01-24,C005,P006,3,0
O021,2024-01-25,C006,P007,1,5
O022,2024-01-26,C007,P008,2,8
O023,2024-01-27,C008,P009,2,0
O024,2024-01-28,C009,P010,1,3
O025,2024-01-29,C010,P011,2,10
O026,2024-02-01,C011,P012,1,6
O027,2024-02-02,C012,P013,1,5
O028,2024-02-03,C013,P014,4,0
O029,2024-02-04,C014,P015,1,7
O030,2024-02-05,C015,P005,1,9
o031,2024-02-06,C016,P006,1,9
